,price,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Categoría,Marca,Tracción,Número cilindros,link,cluster
481,14600.0,2020.0,31222.0,Mecánica,Gas GLP,2000.0,Sedan,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-rio-2020-1686785,3
482,25300.0,2018.0,45474.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-sorento-2018-1686871,2
483,16300.0,2014.0,83415.0,Automática,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-5-2014-1686883,1
484,9000.0,2015.0,39825.0,Mecánica,Gasolina,2000.0,Hatchback,Fiat,4x2,4.0,https://neoauto.com/auto/usado/fiat-punto-2015-1686889,1
485,14700.0,2017.0,85000.0,Automática,Gasolina,2000.0,Camionetas Suv,Renault,4x4,4.0,https://neoauto.com/auto/usado/renault-duster-2017-1686892,1
486,23100.0,2016.0,63162.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-rav4-2016-1686894,1
487,13500.0,2018.0,90710.0,Automática,Gasolina,2000.0,Sedan,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-rio-2018-1686917,1
488,8200.0,2013.0,66469.0,Automática,Gasolina,2000.0,Hatchback,Volkswagen,4x2,4.0,https://neoauto.com/auto/usado/volkswagen-gol-comfort-16-2013-1686930,0
489,23200.0,2019.0,38367.0,Automática,Gasolina,2000.0,Hatchback,Subaru,4x4,4.0,https://neoauto.com/auto/usado/subaru-xv-2019-1686948,2
490,11800.0,2021.0,41280.0,Mecánica,Gas GLP,2000.0,Sedan,Volkswagen,4x2,4.0,https://neoauto.com/auto/usado/volkswagen-gol-2021-1686970,3
491,13800.0,2021.0,8943.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Volkswagen,4x2,4.0,https://neoauto.com/auto/usado/volkswagen-crossfox-2021-1686979,3
492,28000.0,2022.0,28500.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-5-2022-1687097,2
493,26700.0,2017.0,55500.0,Automática,Gasolina,2000.0,Camionetas Suv,Honda,4x2,4.0,https://neoauto.com/auto/usado/honda-cr-v-2017-1687101,2
494,26700.0,2018.0,65500.0,Automática,Gasolina,2000.0,Camionetas Suv,Bmw,4x2,4.0,https://neoauto.com/auto/usado/bmw-x1-18i-2018-1687152,2
495,18300.0,2018.0,58000.0,Automática,Gasolina,2000.0,Hatchback,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-3-2018-1687839,1
496,17600.0,2014.0,82500.0,Automática,Gasolina,2000.0,Camionetas Suv,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-rav4-2014-1687842,1
497,26600.0,2018.0,76500.0,Automática,Gasolina,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-santa-fe-2018-1687845,2
